acquisition_likelihood_rank,ticker,sector,acquisition_likelihood_sector_rank,acquisition_likelihood_score,likelihood_components_used,valuation_bucket_score,turnaround_potential_score,leverage_bucket_score,quality_bucket_score,composite_score,rank
1,HEIDELBERG.NS,cement,1,0.8,3,0.6875,0.875,0.875,0.125,0.49375,98
2,BPCL.NS,energy_power,1,0.788888888888889,3,0.7777777777777778,0.8888888888888888,0.6666666666666667,0.1111111111111111,0.6000000000000001,53
3,SKFINDIA.NS,capital_goods,1,0.7869281045751634,3,0.8284313725490196,0.6666666666666667,0.8888888888888888,0.3333333333333333,0.5374183006535947,74
4,ONGC.NS,energy_power,2,0.7833333333333333,3,0.8888888888888888,0.6666666666666667,0.7777777777777778,0.3333333333333333,0.6777777777777777,31
5,CROMPTON.NS,capital_goods,2,0.7555555555555555,3,0.8888888888888888,0.9444444444444445,0.2777777777777778,0.0555555555555555,0.3944444444444445,137
6,NCC.NS,infra_logistics_defense,1,0.7477272727272728,3,0.9128787878787878,0.8333333333333334,0.3636363636363636,0.1666666666666666,0.5299242424242424,80
7,ARE&M.NS,auto,1,0.7423809523809524,3,0.930952380952381,0.5333333333333333,0.7333333333333334,0.4666666666666667,0.685952380952381,30
8,WHIRLPOOL.NS,consumer_durables_retail,1,0.7307692307692308,3,0.6538461538461537,0.8461538461538463,0.6923076923076923,0.1538461538461538,0.473076923076923,112
9,GLENMARK.NS,pharma_healthcare,1,0.7088235294117646,3,0.6470588235294117,0.8235294117647058,0.6470588235294117,0.1764705882352941,0.5294117647058824,81
10,CIPLA.NS,pharma_healthcare,1,0.7088235294117646,3,0.7058823529411764,0.5882352941176471,0.8823529411764706,0.4117647058823529,0.5352941176470588,77
11,GNFC.NS,chemicals,1,0.7053030303030303,3,0.8257575757575757,0.41666666666666663,0.9166666666666666,0.5833333333333334,0.7727272727272727,10
12,CENTRALBK.NS,banking,1,0.7012759170653909,2,0.7894736842105263,0.6004784688995216,,0.3995215311004784,0.4736509835194045,111
13,AUROPHARMA.NS,pharma_healthcare,3,0.6941176470588235,3,0.8823529411764706,0.7647058823529412,0.2941176470588235,0.2352941176470588,0.4647058823529412,116
14,BANKINDIA.NS,banking,2,0.693939393939394,2,0.9473684210526316,0.40430622009569384,,0.5956937799043062,0.7314261031366294,17
15,BANKBARODA.NS,banking,3,0.6909090909090909,2,0.6842105263157895,0.6985645933014354,,0.3014354066985646,0.5085061137692717,89
16,TECHM.NS,it,1,0.6656565656565656,3,0.5505050505050505,0.8181818181818182,0.6363636363636364,0.1818181818181818,0.4924242424242424,99
17,UCOBANK.NS,banking,4,0.6647527910685805,2,0.5263157894736843,0.8229665071770336,,0.1770334928229665,0.5137559808612441,87
18,BAJAJFINSV.NS,nbfc_financial_services,1,0.6631410256410257,3,0.3269230769230769,0.9166666666666667,0.8461538461538461,0.0833333333333333,0.3692307692307692,151
19,GHCL.NS,chemicals,2,0.6609848484848485,3,0.9128787878787878,0.25,0.8333333333333334,0.75,0.7155303030303031,22
20,LT.NS,capital_goods,3,0.6493464052287582,3,0.94281045751634,0.7777777777777778,0.0,0.2222222222222222,0.393954248366013,139
21,COALINDIA.NS,metals_mining,1,0.6433333333333333,3,0.9,0.33333333333333337,0.6666666666666667,0.6666666666666666,0.7766666666666666,8
22,NBCC.NS,infra_logistics_defense,2,0.6431818181818182,3,0.6022727272727273,0.5,0.9090909090909092,0.5,0.5291666666666667,82
23,GAIL.NS,energy_power,3,0.6388888888888888,3,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.4444444444444444,0.611111111111111,50
24,ACC.NS,cement,2,0.6375,3,0.875,0.375,0.625,0.625,0.625,42
25,GICRE.NS,insurance,1,0.6311111111111112,2,0.8333333333333334,0.4,,0.6,0.6208333333333332,44
26,SUPREMEIND.NS,capital_goods,4,0.630718954248366,3,0.7712418300653594,0.4444444444444444,0.6666666666666667,0.5555555555555556,0.55359477124183,69
27,KAJARIACER.NS,consumer_durables_retail,2,0.6269230769230769,3,0.8846153846153846,0.23076923076923073,0.7692307692307692,0.7692307692307693,0.8192307692307692,2
28,CYIENT.NS,it,2,0.6196969696969697,3,0.4696969696969697,0.9090909090909091,0.4545454545454546,0.0909090909090909,0.4227272727272727,127
29,TATACHEM.NS,chemicals,3,0.6166666666666667,3,0.5833333333333333,0.9166666666666667,0.25,0.0833333333333333,0.3333333333333332,165
30,CHAMBLFERT.NS,chemicals,4,0.6162878787878787,3,0.7386363636363636,0.5,0.5833333333333333,0.5,0.5049242424242424,92
31,MOTHERSON.NS,auto,2,0.6157142857142858,3,0.5142857142857142,0.9333333333333333,0.3333333333333333,0.0666666666666666,0.2809523809523809,182
32,MARUTI.NS,auto,3,0.6042857142857142,3,0.519047619047619,0.4666666666666667,0.9333333333333332,0.5333333333333333,0.689047619047619,29
33,HCLTECH.NS,it,3,0.5904545454545456,3,0.7272727272727273,0.3363636363636364,0.7272727272727273,0.6636363636363636,0.6172727272727273,46
34,MRF.NS,auto,4,0.5895238095238096,3,0.7904761904761906,0.4,0.5333333333333333,0.6,0.5504761904761905,70
35,SBICARD.NS,nbfc_financial_services,2,0.5878205128205128,3,0.3076923076923077,0.8333333333333334,0.6923076923076923,0.1666666666666666,0.3730769230769231,149
36,BAJAJHLDNG.NS,nbfc_financial_services,3,0.5871794871794872,3,0.3076923076923077,0.6666666666666667,0.9230769230769232,0.3333333333333333,0.4846153846153846,103
37,JSL.NS,metals_mining,2,0.5800000000000001,3,0.6333333333333333,0.6,0.4666666666666667,0.4,0.4966666666666666,96
38,IRCON.NS,infra_logistics_defense,3,0.5799242424242423,3,0.8257575757575757,0.5833333333333333,0.1818181818181817,0.4166666666666667,0.4924242424242424,100
