rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
1,NATIONALUM.NS,metals_mining,2026-08-25T03:50:11.524290+00:00,732999778304,399.1,10.617186,7.133,,0.277,0.393,0.34908,0.8206567297931698,598300032.0,216037100000.0,True,,0.00277,1,0.8566666666666667,4,0.7666666666666667,0.9333333333333333,0.9333333333333333,0.8,0.8,0.7333333333333334,,0.9333333333333333,0.9333333333333333,0.8
2,IOB.NS,banking,2026-08-25T03:48:57.800991+00:00,638933663744,33.18,11.06,,0.16525999,,0.481,0.36560002,0.4979208850448562,472398987264.0,369906675000.0,True,,,1,0.8183479532163742,3,0.631578947368421,0.9210526315789473,,0.9444444444444444,0.631578947368421,,1.0,0.8421052631578947,,0.9444444444444444
3,KAJARIACER.NS,consumer_durables_retail,2026-08-25T03:51:02.003847+00:00,189058809856,1203.1,35.055363,19.808,,7.302,0.204,0.107980005,1.5738065879866123,2285900032.0,30655800000.0,True,,0.07302,1,0.8178571428571428,4,0.8928571428571429,0.7857142857142857,0.7142857142857143,0.8571428571428571,0.8571428571428572,0.9285714285714286,,0.7857142857142857,0.7142857142857143,0.8571428571428571
4,UNIONBANK.NS,banking,2026-08-25T03:48:53.338698+00:00,1397484290048,183.07,6.7653365,,0.15798001,,,0.40460998,0.4405326153885003,,1334472821000.0,True,,,2,0.8098086124401914,2,0.736842105263158,0.8827751196172249,,,0.736842105263158,,0.8181818181818182,0.9473684210526315,,
5,HAL.NS,capital_goods,2026-08-25T03:50:29.638067+00:00,3245765558272,4855.0,34.79068,35.255,,0.16,0.144,0.27591,0.7746313940750155,658200000.0,410411200000.0,True,,0.0016,1,0.8017973856209151,4,0.7467320261437909,1.0,0.9444444444444444,0.4444444444444444,0.8823529411764706,0.6111111111111112,,1.0,0.9444444444444444,0.4444444444444444
6,BEL.NS,capital_goods,2026-08-25T03:50:30.513872+00:00,2975080120320,407.0,49.036144,35.475,,0.273,0.249,0.21403,1.1170636864372687,654600000.0,239883100000.0,True,,0.00273,2,0.7910130718954249,4,0.5441176470588236,0.9444444444444444,0.8333333333333334,0.8888888888888888,0.5882352941176471,0.5,,0.9444444444444444,0.8333333333333334,0.8888888888888888
7,HEROMOTOCO.NS,auto,2026-08-25T03:49:21.830839+00:00,1132799197184,5660.0,20.821072,14.262,,3.57,0.349,0.10724,2.1770383768779045,7786100224.0,216111900000.0,True,,0.0356999999999999,1,0.7901960784313726,4,0.7450980392156863,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8235294117647058,0.6666666666666667,,0.7777777777777778,0.7777777777777778,0.8888888888888888
8,COALINDIA.NS,metals_mining,2026-08-25T03:50:06.747060+00:00,2506381852672,406.7,8.009059,5.122,,11.629,0.451,0.18138,1.3972722103723914,140721799168.0,1191015600000.0,True,,0.1162899999999999,2,0.7766666666666666,4,0.9,0.6666666666666666,0.6666666666666667,0.8666666666666667,0.9333333333333333,0.8666666666666667,,0.6666666666666666,0.6666666666666667,0.8666666666666667
9,OBEROIRLTY.NS,realty,2026-08-25T03:51:23.473198+00:00,681390571520,1874.0,25.944897,18.881,,15.765,0.317,0.41592997,0.3352967120483635,28253941760.0,179216231000.0,True,,0.15765,1,0.7750000000000001,4,0.75,0.8333333333333334,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.6666666666666667,,0.8333333333333334,0.6666666666666667,0.8333333333333334
10,GNFC.NS,chemicals,2026-08-25T03:50:50.467172+00:00,88590540800,602.9,8.402788,5.574,,0.066,0.398,0.12331,0.8481865455502896,60000000.0,91152000000.0,True,,0.00066,1,0.7727272727272727,4,0.8257575757575757,0.5833333333333334,0.9166666666666666,0.8333333333333334,0.8181818181818181,0.8333333333333334,,0.5833333333333334,0.9166666666666666,0.8333333333333334
