rank,ticker,sector,sector_rank,composite_score,trailing_pe,trailing_pe_vs_sector_median,valuation_label,return_on_equity,net_margin,asset_turnover,equity_multiplier,dupont_implied_roe,dupont_vs_reported_roe_gap
1,UNIONBANK.NS,banking,1,0.8406862745098039,6.3979287,-0.22572315000000032,in line with sector,0.15798001,0.40460998,0.4405326153885003,1.0,0.1782438927016888,0.0202638827016888
2,HEROMOTOCO.NS,auto,1,0.8357142857142856,17.224316,0.0,in line with sector,0.28027,0.12109999,2.1770383768779045,1.0360280957411414,0.2731377485358823,-0.007132251464117723
3,ACC.NS,cement,1,0.8098214285714287,12.080691,0.0,in line with sector,0.109280005,0.082959995,1.2187217464845206,1.0208563860998299,0.10321383803971876,-0.006066166960281241
4,COLPAL.NS,fmcg,1,0.7875000000000001,43.27187,0.0,in line with sector,0.81593,0.21959999,3.777244004519888,1.0299284771890842,0.8543079010511583,0.038377901051158236
5,LUPIN.NS,pharma_healthcare,1,0.7647058823529412,21.16698,0.0,in line with sector,0.26907,0.19073999,1.2244836684519564,1.2947300578975574,0.3023945663267333,0.03332456632673331
6,NMDC.NS,metals_mining,1,0.7535714285714286,9.936246,0.0,in line with sector,0.23363,0.23231001,0.941535414635464,1.1880907738724862,0.2598688394849135,0.026238839484913512
7,PNB.NS,banking,2,0.7518382352941175,6.849375,0.22572315000000032,in line with sector,,0.38147,0.4175437957776446,1.0421177330895015,0.16598896248719064,
8,LICI.NS,insurance,1,0.75,9.535549,0.0,in line with sector,0.40769002,0.06321,5.485817586263247,1.0043142523323474,0.34825453342290746,-0.05943548657709252
9,IRCTC.NS,infra_logistics_defense,1,0.7468181818181819,28.833141,0.0,in line with sector,0.34959,0.26721,1.2103574830708552,1.0187362920631446,0.32947930756780575,-0.020110692432194266
10,GILLETTE.NS,consumer_durables_retail,1,0.7451923076923077,47.92086,0.0,in line with sector,0.66443,0.21110001,2.7109660547530554,1.0000205915965694,0.5722967455290757,-0.09213325447092424
