rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
1,NATIONALUM.NS,metals_mining,2026-08-18T03:45:40.761971+00:00,712337653760,387.85,10.233509,6.817,,0.277,0.393,0.34908,0.8206567297931698,598300032.0,216037100000.0,True,,0.00277,1,0.8666666666666667,4,0.8,0.9333333333333333,0.9333333333333333,0.8,0.8,0.8,,0.9333333333333333,0.9333333333333333,0.8
2,IOB.NS,banking,2026-08-18T03:44:13.963117+00:00,648176795648,33.66,11.257525,,0.16525999,,0.481,0.36560002,0.4979208850448562,472398987264.0,369906675000.0,True,,,1,0.8183479532163742,3,0.631578947368421,0.9210526315789473,,0.9444444444444444,0.631578947368421,,1.0,0.8421052631578947,,0.9444444444444444
3,KAJARIACER.NS,consumer_durables_retail,2026-08-18T03:46:42.561066+00:00,195753099264,1247.5,36.455956,20.582,,7.302,0.204,0.107980005,1.5756757285733858,2285900032.0,30655800000.0,True,,0.07302,1,0.8182692307692307,4,0.8814102564102564,0.7692307692307693,0.7692307692307692,0.8461538461538461,0.8461538461538461,0.9166666666666666,,0.7692307692307693,0.7692307692307692,0.8461538461538461
4,BEL.NS,capital_goods,2026-08-18T03:46:04.064366+00:00,3009070497792,411.65,48.94768,35.783,,0.273,0.249,0.21403,1.1170636864372687,654600000.0,239883100000.0,True,,0.00273,1,0.8165032679738562,4,0.6290849673202614,0.9444444444444444,0.8333333333333334,0.8888888888888888,0.6470588235294117,0.6111111111111112,,0.9444444444444444,0.8333333333333334,0.8888888888888888
5,UNIONBANK.NS,banking,2026-08-18T03:44:08.578589+00:00,1441988083712,188.9,6.985946,,0.15798001,,,0.40460998,0.4405326153885003,,1334472821000.0,True,,,2,0.8098086124401914,2,0.736842105263158,0.8827751196172249,,,0.736842105263158,,0.8181818181818182,0.9473684210526315,,
6,HAL.NS,capital_goods,2026-08-18T03:46:02.971072+00:00,3384001429504,5060.0,36.316658,36.535,,0.16,0.144,0.27591,0.7746313940750155,658200000.0,410411200000.0,True,,0.0016,2,0.7934640522875817,4,0.7189542483660131,1.0,0.9444444444444444,0.4444444444444444,0.8823529411764706,0.5555555555555556,,1.0,0.9444444444444444,0.4444444444444444
7,HEROMOTOCO.NS,auto,2026-08-18T03:44:43.232962+00:00,1149811163136,5745.0,21.111233,14.43,,3.57,0.349,0.10724,2.1770383768779045,7786100224.0,216111900000.0,True,,0.0356999999999999,1,0.7911904761904762,4,0.7261904761904763,0.8,0.8,0.8666666666666667,0.7857142857142857,0.6666666666666667,,0.8,0.8,0.8666666666666667
8,COALINDIA.NS,metals_mining,2026-08-18T03:45:35.402619+00:00,2520555978752,409.0,8.06229,5.145,,11.629,0.451,0.18138,1.3972722103723914,140721799168.0,1191015600000.0,True,,0.1162899999999999,2,0.7766666666666666,4,0.9,0.6666666666666666,0.6666666666666667,0.8666666666666667,0.9333333333333333,0.8666666666666667,,0.6666666666666666,0.6666666666666667,0.8666666666666667
9,OBEROIRLTY.NS,realty,2026-08-18T03:47:08.681608+00:00,696661901312,1916.0,25.310436,19.501,,15.765,0.317,0.41592997,0.3352967120483635,28253941760.0,179216231000.0,True,,0.15765,1,0.7750000000000001,4,0.75,0.8333333333333334,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.6666666666666667,,0.8333333333333334,0.6666666666666667,0.8333333333333334
10,GNFC.NS,chemicals,2026-08-18T03:46:28.906559+00:00,89192996864,607.0,8.149838,5.665,,0.066,0.398,0.12331,0.8527701590784421,60000000.0,91150000000.0,True,,0.00066,1,0.7727272727272727,4,0.8257575757575757,0.5833333333333334,0.9166666666666666,0.8333333333333334,0.8181818181818181,0.8333333333333334,,0.5833333333333334,0.9166666666666666,0.8333333333333334
