rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
1,NATIONALUM.NS,metals_mining,2026-08-14T04:49:33.996838+00:00,702328012800,382.4,10.913241,7.077,,0.277,0.393,0.34908,0.8206567297931698,598300032.0,216037100000.0,True,,0.00277,1,0.8404761904761904,4,0.7571428571428571,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.8,0.7142857142857143,,0.9333333333333333,0.9333333333333333,0.7333333333333333
2,BEL.NS,capital_goods,2026-08-14T04:49:54.829602+00:00,2998836920320,410.25,48.264706,35.609,,0.273,0.249,0.21403,1.1170636864372687,654600000.0,239883100000.0,True,,0.00273,1,0.8253267973856209,4,0.6584967320261438,0.9444444444444444,0.8333333333333334,0.8888888888888888,0.7058823529411764,0.6111111111111112,,0.9444444444444444,0.8333333333333334,0.8888888888888888
3,KAJARIACER.NS,consumer_durables_retail,2026-08-14T04:50:28.705352+00:00,198848823296,1265.4,36.881374,20.739,,7.302,0.204,0.107980005,1.5756757285733858,2285900032.0,30655800000.0,True,,0.07302,1,0.8192307692307692,4,0.8846153846153846,0.7692307692307693,0.7692307692307692,0.8461538461538461,0.8461538461538461,0.9230769230769231,,0.7692307692307693,0.7692307692307692,0.8461538461538461
4,IOB.NS,banking,2026-08-14T04:48:18.154633+00:00,647406551040,33.62,11.281878,,0.16525999,,0.481,0.36560002,0.4979208850448562,472398987264.0,369906675000.0,True,,,1,0.8183479532163742,3,0.631578947368421,0.9210526315789473,,0.9444444444444444,0.631578947368421,,1.0,0.8421052631578947,,0.9444444444444444
5,HAL.NS,capital_goods,2026-08-14T04:49:53.850821+00:00,3314248318976,4955.7,35.91868,35.582,,0.16,0.144,0.27591,0.7746313940750155,658200000.0,410411200000.0,True,,0.0016,2,0.8101307189542484,4,0.7745098039215687,1.0,0.9444444444444444,0.4444444444444444,0.8823529411764706,0.6666666666666667,,1.0,0.9444444444444444,0.4444444444444444
6,UNIONBANK.NS,banking,2026-08-14T04:48:13.597428+00:00,1442598748160,188.98,6.988905,,0.15798001,,,0.40460998,0.4405326153885003,,1334472821000.0,True,,,2,0.8098086124401914,2,0.736842105263158,0.8827751196172249,,,0.736842105263158,,0.8181818181818182,0.9473684210526315,,
7,HEROMOTOCO.NS,auto,2026-08-14T04:48:43.267712+00:00,1162320019456,5807.5,21.487772,14.724,,3.57,0.349,0.10724,2.1770383768779045,7786100224.0,216111900000.0,True,,0.0356999999999999,1,0.7778571428571429,4,0.7261904761904763,0.8,0.8,0.8,0.7857142857142857,0.6666666666666667,,0.8,0.8,0.8
8,IRCTC.NS,infra_logistics_defense,2026-08-14T04:50:42.383493+00:00,397439991808,496.8,28.535324,22.988,0.34959,1.874,0.151,0.26721,1.2103574830708552,807259008.0,43085313000.0,True,,0.01874,1,0.7768939393939395,4,0.5858585858585859,0.9583333333333333,0.8181818181818181,0.75,0.7272727272727273,0.4444444444444444,1.0,0.9166666666666666,0.8181818181818181,0.75
9,OBEROIRLTY.NS,realty,2026-08-14T04:50:51.667093+00:00,670446190592,1843.9,24.847055,18.637,,15.765,0.317,0.41592997,0.3352967120483635,28253941760.0,179216231000.0,True,,0.15765,1,0.7750000000000001,4,0.75,0.8333333333333334,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.6666666666666667,,0.8333333333333334,0.6666666666666667,0.8333333333333334
10,GNFC.NS,chemicals,2026-08-14T04:50:16.113109+00:00,82433728512,561.0,7.9630947,5.07,,0.066,0.398,0.12331,0.8527701590784421,60000000.0,91150000000.0,True,,0.00066,1,0.7727272727272727,4,0.8257575757575757,0.5833333333333334,0.9166666666666666,0.8333333333333334,0.8181818181818181,0.8333333333333334,,0.5833333333333334,0.9166666666666666,0.8333333333333334
11,NMDC.NS,metals_mining,2026-08-14T04:49:30.005492+00:00,736402604032,83.76,9.995227,7.519,0.23363,18.802,0.619,0.23231001,0.941535414635464,64068100096.0,340623300000.0,True,,0.18802,2,0.7683333333333333,4,0.6833333333333333,0.9,0.6,0.8666666666666667,0.8666666666666667,0.5,1.0,0.8,0.6,0.8666666666666667
12,COALINDIA.NS,metals_mining,2026-08-14T04:49:28.872700+00:00,2524253519872,409.6,8.078896,5.176,,11.629,0.451,0.18138,1.3972722103723914,140721799168.0,1191015600000.0,True,,0.1162899999999999,3,0.761904761904762,4,0.8952380952380953,0.6666666666666666,0.6666666666666667,0.8,0.9333333333333333,0.8571428571428572,,0.6666666666666666,0.6666666666666667,0.8
13,LUPIN.NS,pharma_healthcare,2026-08-14T04:49:00.134153+00:00,1024526188544,2240.7,18.570362,11.762,,29.388,0.32,0.18450001,1.2244836684519564,66161799168.0,224482700000.0,True,,0.29388,1,0.7470588235294118,4,0.9411764705882353,0.7647058823529411,0.23529411764705888,0.9411764705882353,0.9411764705882353,0.9411764705882353,,0.7647058823529411,0.23529411764705888,0.9411764705882353
14,GILLETTE.NS,consumer_durables_retail,2026-08-14T04:50:32.583672+00:00,247663935488,7600.5,46.364304,25.447,,0.002,0.108,0.21035999,2.7109660547530554,200000.0,9712700000.0,True,,2e-05,2,0.7461538461538462,4,0.6153846153846154,1.0,0.9230769230769231,0.38461538461538464,0.6153846153846154,0.6153846153846154,,1.0,0.9230769230769231,0.38461538461538464
15,ITC.NS,fmcg,2026-08-14T04:49:14.260361+00:00,3476301283328,277.45,17.35147,12.842,,3.293,-0.111,0.25937998,1.078695248616346,23993600000.0,725073000000.0,True,,0.03293,1,0.7416666666666667,4,0.9166666666666666,1.0,0.75,0.08333333333333333,0.9166666666666666,0.9166666666666666,,1.0,0.75,0.08333333333333333
