rank,ticker,sector,sector_rank,composite_score,trailing_pe,trailing_pe_vs_sector_median,valuation_label,return_on_equity,net_margin,asset_turnover,equity_multiplier,dupont_implied_roe,dupont_vs_reported_roe_gap
1,NATIONALUM.NS,metals_mining,1,0.8666666666666667,10.30025,1.0300545000000003,in line with sector,,0.34908,0.8206567297931698,1.0027694318799873,0.2872682238220279,
2,KAJARIACER.NS,consumer_durables_retail,1,0.8192307692307692,36.938774,0.0,in line with sector,,0.107980005,1.5738065879866123,1.0745666409619061,0.18261147160248598,
3,HEROMOTOCO.NS,auto,1,0.8011904761904762,19.718882,0.0,in line with sector,,0.10724,2.1770383768779045,1.0360280957411414,0.24187691636463401,
4,UNIONBANK.NS,banking,1,0.7834928229665072,6.798585,-2.275877499999999,cheap vs sector,0.15798001,0.40460998,0.4405326153885003,1.0,0.1782438927016888,0.0202638827016888
5,IOB.NS,banking,2,0.7788742690058479,11.35034,2.2758775,rich vs sector,0.16525999,0.36560002,0.4979208850448562,2.277076136201111,0.41451867917900564,0.24925868917900565
6,HAL.NS,capital_goods,1,0.776797385620915,36.191433,0.0,in line with sector,,0.27591,0.7746313940750155,1.0016037574023322,0.21407131668008478,
7,COALINDIA.NS,metals_mining,2,0.7766666666666666,8.240141,-1.0300545000000003,in line with sector,,0.18138,1.3972722103723914,1.1181527758057912,0.28338154614995914,
8,OBEROIRLTY.NS,realty,1,0.7750000000000001,25.829477,0.0,in line with sector,,0.41592997,0.3352967120483635,1.1576528063465412,0.16144620409191562,
9,GNFC.NS,chemicals,1,0.7727272727272727,8.3232,0.0,in line with sector,,0.12331,0.8481865455502896,1.0006582411795681,0.10465872829971813,
10,IRCTC.NS,infra_logistics_defense,1,0.7602272727272726,27.118254,0.0,in line with sector,,0.25677,1.2103574830708552,1.0187362920631446,0.31660642118253607,
