rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
1,NATIONALUM.NS,metals_mining,2026-08-16T03:49:27.877026+00:00,690573541376,376.0,10.225727,6.586,,0.277,0.393,0.34908,0.8206567297931698,598300032.0,216037100000.0,True,,0.00277,1,0.8645238095238095,4,0.7928571428571429,0.9333333333333333,0.9333333333333333,0.8,0.8,0.7857142857142857,,0.9333333333333333,0.9333333333333333,0.8
2,BEL.NS,capital_goods,2026-08-16T03:49:47.782500+00:00,3002857160704,410.8,49.021477,35.636,,0.273,0.249,0.21403,1.1170636864372687,654600000.0,239883100000.0,True,,0.00273,1,0.8248366013071895,4,0.6568627450980392,0.9444444444444444,0.8333333333333334,0.8888888888888888,0.6470588235294117,0.6666666666666667,,0.9444444444444444,0.8333333333333334,0.8888888888888888
3,IOB.NS,banking,2026-08-16T03:48:15.172138+00:00,646828851200,33.59,11.271812,,0.16525999,,0.481,0.36560002,0.4979208850448562,472398987264.0,369906675000.0,True,,,1,0.8183479532163742,3,0.631578947368421,0.9210526315789473,,0.9444444444444444,0.631578947368421,,1.0,0.8421052631578947,,0.9444444444444444
4,KAJARIACER.NS,consumer_durables_retail,2026-08-16T03:50:20.234599+00:00,196963106816,1253.4,36.6277,20.613,,7.302,0.204,0.107980005,1.5756757285733858,2285900032.0,30655800000.0,True,,0.07302,1,0.8182692307692307,4,0.8814102564102564,0.7692307692307693,0.7692307692307692,0.8461538461538461,0.8461538461538461,0.9166666666666666,,0.7692307692307693,0.7692307692307692,0.8461538461538461
5,UNIONBANK.NS,banking,2026-08-16T03:48:10.527698+00:00,1430385065984,187.38,6.9297338,,0.15798001,,,0.40460998,0.4405326153885003,,1334472821000.0,True,,,2,0.8098086124401914,2,0.736842105263158,0.8827751196172249,,,0.736842105263158,,0.8181818181818182,0.9473684210526315,,
6,HAL.NS,capital_goods,2026-08-16T03:49:46.803357+00:00,3363871129600,5029.9,36.100624,36.291,,0.16,0.144,0.27591,0.7746313940750155,658200000.0,410411200000.0,True,,0.0016,2,0.8017973856209151,4,0.7467320261437909,1.0,0.9444444444444444,0.4444444444444444,0.8823529411764706,0.6111111111111112,,1.0,0.9444444444444444,0.4444444444444444
7,HEROMOTOCO.NS,auto,2026-08-16T03:48:39.662095+00:00,1158817513472,5790.0,21.276596,14.556,,3.57,0.349,0.10724,2.1770383768779045,7786100224.0,216111900000.0,True,,0.0356999999999999,1,0.7911904761904762,4,0.7261904761904763,0.8,0.8,0.8666666666666667,0.7857142857142857,0.6666666666666667,,0.8,0.8,0.8666666666666667
8,COALINDIA.NS,metals_mining,2026-08-16T03:49:23.320557+00:00,2508846792704,407.1,8.05182,5.125,,11.629,0.451,0.18138,1.3972722103723914,140721799168.0,1191015600000.0,True,,0.1162899999999999,2,0.7752380952380953,4,0.8952380952380953,0.6666666666666666,0.6666666666666667,0.8666666666666667,0.9333333333333333,0.8571428571428572,,0.6666666666666666,0.6666666666666667,0.8666666666666667
9,OBEROIRLTY.NS,realty,2026-08-16T03:50:42.299744+00:00,671209750528,1846.0,25.511332,18.637,,15.765,0.317,0.41592997,0.3352967120483635,28253941760.0,179216231000.0,True,,0.15765,1,0.7750000000000001,4,0.75,0.8333333333333334,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.6666666666666667,,0.8333333333333334,0.6666666666666667,0.8333333333333334
10,GNFC.NS,chemicals,2026-08-16T03:50:08.297213+00:00,83601907712,568.95,8.064493,5.289,,0.066,0.398,0.12331,0.8527701590784421,60000000.0,91150000000.0,True,,0.00066,1,0.7727272727272727,4,0.8257575757575757,0.5833333333333334,0.9166666666666666,0.8333333333333334,0.8181818181818181,0.8333333333333334,,0.5833333333333334,0.9166666666666666,0.8333333333333334
