rank,ticker,sector,sector_rank,composite_score,trailing_pe,trailing_pe_vs_sector_median,valuation_label,return_on_equity,net_margin,asset_turnover,equity_multiplier,dupont_implied_roe,dupont_vs_reported_roe_gap
1,NATIONALUM.NS,metals_mining,1,0.8666666666666667,9.82313,0.695627,in line with sector,,0.34908,0.8206567297931698,1.0027694318799873,0.2872682238220279,
2,UNIONBANK.NS,banking,1,0.8098086124401914,6.5865383,-2.26210035,cheap vs sector,0.15798001,0.40460998,0.4405326153885003,1.0,0.1782438927016888,0.0202638827016888
3,HEROMOTOCO.NS,auto,1,0.7985294117647059,19.202337,0.0,in line with sector,,0.10724,2.1770383768779045,1.0360280957411414,0.24187691636463401,
4,KAJARIACER.NS,consumer_durables_retail,1,0.7964285714285715,35.783344,0.0,in line with sector,,0.107980005,1.5738065879866123,1.0745666409619061,0.18261147160248598,
5,IOB.NS,banking,2,0.7788742690058479,11.110739,2.2621003500000008,rich vs sector,0.16525999,0.36560002,0.4979208850448562,2.277076136201111,0.41451867917900564,0.24925868917900565
6,COALINDIA.NS,metals_mining,2,0.7766666666666666,8.431876,-0.695627,in line with sector,,0.18138,1.3972722103723914,1.1181527758057912,0.28338154614995914,
7,OBEROIRLTY.NS,realty,1,0.7750000000000001,24.094934,0.0,in line with sector,,0.41592997,0.3352967120483635,1.1576528063465412,0.16144620409191562,
8,GNFC.NS,chemicals,1,0.7727272727272727,7.994474,0.0,in line with sector,,0.12331,0.8481865455502896,1.0006582411795681,0.10465872829971813,
9,BEL.NS,capital_goods,1,0.7655228758169934,48.07967,0.0,in line with sector,,0.21403,1.1170636864372687,1.002728829167207,0.23973756331385174,
10,LUPIN.NS,pharma_healthcare,1,0.7611111111111111,17.361399,0.0,in line with sector,,0.18450001,1.2244836684519564,1.2947300578975574,0.29250185297392517,
